log_q,log_p,log_y,share,log_hhsize,log_driver,log_hhr_age,total_wrkr,publictransit_d,cl5_smtown_d,cl5_suburban_d,cl5_secondcity_d,cl5_urban_d,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,state_fips,distance_oil1000
8.0898609,.22982399,11.191341,.056605052,1.3862944,.69314718,3.583519,1,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
7.5549479,.22983299,11.191341,.03315502,1.3862944,.69314718,3.7376697,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
5.001174,.22911523,10.021271,.0083043054,1.3862944,.69314718,3.4339871,1,0,0,0,1,0,1,0,0,0,0,0,0,AL,.65708768
7.5966873,.22987476,11.191341,.034569621,1.3862944,.69314718,3.3322046,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
6.7618899,.22988746,10.221941,.03955102,1.0986123,0,3.0445225,2,0,1,0,0,0,0,1,0,0,0,0,0,AL,.65708768
6.9223084,.30015847,10.95954,.023823721,1.7917595,.69314718,3.4011974,1,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
7.2477946,.30024314,11.695247,.015808471,1.7917595,.69314718,3.6109178,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.9293952,.30016571,11.191341,.05172671,1.3862944,1.0986123,3.0445225,3,0,1,0,0,0,0,0,0,1,0,0,0,AZ,2.14095
7.2669964,.30039403,10.868568,.036839746,1.3862944,.69314718,3.3322046,2,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
6.8865314,.30013162,11.695247,.011014047,1.0986123,.69314718,3.5263605,1,0,0,1,0,0,0,0,1,0,0,0,0,AZ,2.14095
7.2655487,.30023786,11.695247,.016091555,1.3862944,.69314718,3.6375861,2,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.0738826,.29999068,10.768485,.033553585,1.3862944,.69314718,3.583519,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.3295894,.30052713,11.119883,.030507993,1.3862944,.69314718,3.6888795,2,0,1,0,0,0,0,0,0,0,0,0,0,AZ,2.14095
7.1065288,.30041477,10.95954,.028650146,1.0986123,.69314718,3.6375861,2,0,0,0,0,1,0,0,0,0,1,0,0,AZ,2.14095
7.4101839,.30036286,11.695247,.01859802,1.3862944,1.0986123,3.8286414,1,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
